Angle,Mass,OF1 Tot,OF1 Tot  Err,OF1 > 2,OF1 > 2 Err,OF1 2 - 0.5,OF1 2 - 0.5  Err,OF1 0.5 - 0.08,OF1 0.5 - 0.08  Err
180,640,0.66,0.04,0.712,0.073,0.732,0.05,0.635,0.035
180,1600,0.8398,0.006,0.944,0.012,0.9068,0.0044,0.8125,0.0072
180,4000,0.8682,0.0059,0.9075,0.0062,0.924,0.01,0.8476,0.0055
180,10000,0.9315,0.0029,0.934,0.0037,0.9531,0.0038,0.925,0.003
180,25000,0.9449,0.0014,0.9492,0.0019,0.9582,0.0018,0.9403,0.0014
25,640,0.688,0.043,0.897,0.022,0.811,0.056,0.626,0.041
25,1600,0.789,0.019,0.924,0.028,0.893,0.024,0.747,0.018
25,4000,0.8462,0.0043,0.9278,0.0035,0.9355,0.0051,0.8098,0.0059
25,10000,0.8937,0.0035,0.9511,0.0023,0.9476,0.003,0.8719,0.0045
25,25000,0.9277,0.0012,0.9556,0.0024,0.9547,0.002,0.9163,0.0013
10,640,0.547,0.015,0.744,0.033,0.751,0.019,0.45,0.018
10,1600,0.7,0.011,0.9384,0.0097,0.875,0.012,0.621,0.015
10,4000,0.7817,0.0063,0.9507,0.0078,0.9079,0.0081,0.7224,0.0077
10,10000,0.8395,0.0044,0.9594,0.0029,0.9318,0.0034,0.7979,0.0056
10,25000,0.8927,0.0017,0.9671,0.0024,0.9467,0.0026,0.8667,0.0021
5,640,0.501,0.015,0.838,0.014,0.782,0.018,0.338,0.019
5,1600,0.61,0.014,0.907,0.014,0.865,0.014,0.486,0.019
5,4000,0.7122,0.0067,0.9448,0.009,0.9233,0.0076,0.6061,0.0074
5,10000,0.7906,0.0036,0.9585,0.0033,0.941,0.0035,0.7196,0.0046
5,25000,0.8608,0.0029,0.9705,0.002,0.9539,0.0019,0.8117,0.0037
0,640,0.538,0.016,0.926,0.018,0.786,0.02,0.39,0.021
0,1600,0.626,0.014,0.9622,0.01,0.828,0.018,0.518,0.016
0,4000,0.7147,0.0089,0.9536,0.0042,0.8837,0.0068,0.619,0.012
0,10000,0.7749,0.0048,0.9641,0.0036,0.8978,0.0038,0.7053,0.0066
0,25000,0.824,0.0032,0.9657,0.0021,0.9174,0.0034,0.7637,0.004
