Angle,Mass,MNCS Tot,MNCS Tot Err,MNCS > 2,MNCS > 2 Err,MNCS 2 - 0.5,MNCS 2 - 0.5 Err,MNCS 0.5 - 0.08,MNCS 0.5 - 0.08 Err,MNFS Tot,MNFS Tot Err,MNFS > 2,MNFS > 2 Err,MNFS 2 - 0.5,MNFS 2 - 0.5 Err,MNFS 0.5 - 0.08,MNFS 0.5 - 0.08 Err
180,640,957.5,7.5,36.9,0.32,206.5,2.1,714.1,5.9,655,26,1.2,0.92,120.5,6.3,534,26
180,1600,1557.1,8.2,83.4,0.7,305,1.8,1168.7,7.6,644,29,1.2,1.2,113.4,9.7,529,36
180,4000,2607,11,191.3,0.67,522.3,3.5,1893.2,8.5,607,18,0.9,0.99,114.4,6.6,491,18
180,10000,6175,17,366.8,1.5,1276.1,3.4,4532,14,579,16,1,0.94,106.6,7.6,471,22
180,25000,15565,51,840,5.2,3533,18,11192,30,535,21,1.1,0.74,106.4,6.6,428,26
25,640,1015,13,39.2,1,249.4,6.1,726.7,8.8,17476,161,33.1,5.4,3354,37,14088,184
25,1600,1790,14,88.9,0.88,357.8,5,1344,13,17226,115,31.9,5.3,3276,55,13918,148
25,4000,3231,22,184.9,1.4,695.6,9.2,2350,20,16679,72,31.8,5.2,3185,38,13462,83
25,10000,7522,64,407.4,3.7,1646,21,5468,45,15944,121,30.3,7.2,3159,39,12754,131
25,25000,16291,37,910.6,4.7,3804,12,11577,29,14855,135,28.4,2.5,3025,25,11802,143
10,640,1044.2,9.9,39.6,1.1,255,2.9,749.6,9.9,40591,126,77.8,7.9,8012,59,32502,150
10,1600,1933,21,92.7,1.2,405.4,4.2,1435,20,39948,178,80,8.4,7868,75,32000,204
10,4000,3860,25,215.6,1.3,857.2,5.7,2787,22,39216,137,71.8,8.1,7686,28,31458,144
10,10000,8156,29,435.1,1.7,1832,12,5889,22,37598,233,68.8,5.8,7460,46,30069,248
10,25000,16362,35,917.4,5.3,3950,12,11496,28,34042,192,67.2,9.2,7169,82,26807,216
5,640,1041,11,40.6,0.52,265.5,2.3,734,10,56466,189,97.4,8.8,10896,65,45474,228
5,1600,1972,21,90.2,1.4,425.7,6,1456,18,55920,267,88.2,8.1,10803,77,45029,302
5,4000,4087,23,222.4,2.2,912.4,8.9,2952,17,54850,270,79.3,6.8,10632,77,44139,324
5,10000,8865,22,434.8,3.7,2033.9,6,6396,19,52700,231,88,10,10322,78,42289,241
5,25000,16224,61,946.2,5.8,4118,14,11160,50,47312,303,82.4,6.9,9781,93,37448,319
0,640,892,17,38.7,1.5,250.4,4,603,15,249461,589,89,8.7,44325,177,205047,728
0,1600,1676,25,87.6,3.3,402,5.3,1186,21,246141,843,90,10,44216,170,201835,877
0,4000,3680,24,221.1,3.4,955,12,2504,15,240440,696,88.8,7.4,43939,112,196412,670
0,10000,8053,51,457.2,4.6,2159,6.1,5437,45,229694,623,84.3,9.5,43348,181,186262,657
0,25000,15170,86,972,11,4484,31,9715,73,203312,642,80.1,5.8,42162,175,161069,671
