Angle,Mass,OP Tot,OP Tot Err,OP > 2,OP > 2 Err,OP 2 - 0.5,OP 2 - 0.5 Err,OP 0.5 - 0.08,OP 0.5 - 0.08 Err
180,640,0.99979,0.00067,1,0,1,0,0.9997,0.00095
180,1600,0.99947,0.00069,1,0,1,0,0.99925,0.00097
180,4000,0.99905,0.00055,1,0,1,0,0.99864,0.00079
180,10000,0.99863,0.00051,1,0,1,0,0.99811,0.00071
180,25000,0.99363,0.00084,0.9996,0.00089,0.9967,0.00095,0.9922,0.0012
25,640,0.961,0.013,1,0,0.9704,0.0095,0.952,0.019
25,1600,0.9654,0.0084,1,0,0.9733,0.0085,0.96,0.011
25,4000,0.976,0.0036,0.9994,0.002,0.9817,0.0051,0.9716,0.0042
25,10000,0.9808,0.0015,0.99973,0.00086,0.9873,0.0039,0.9769,0.0017
25,25000,0.9855,0.001,0.99988,0.00038,0.98962,0.00089,0.9828,0.0014
10,640,0.855,0.019,0.992,0.018,0.913,0.019,0.809,0.025
10,1600,0.8733,0.0089,0.9952,0.0084,0.905,0.017,0.847,0.011
10,4000,0.9015,0.0095,0.9975,0.0027,0.932,0.012,0.879,0.011
10,10000,0.93,0.0029,0.998,0.001,0.9483,0.0062,0.9167,0.0028
10,25000,0.9507,0.002,0.9981,0.0018,0.9616,0.0045,0.9422,0.0024
5,640,0.926,0.013,1,0,0.9683,0.008,0.871,0.024
5,1600,0.9394,0.0095,0.9987,0.0042,0.9683,0.0095,0.912,0.015
5,4000,0.9567,0.0052,0.9985,0.0034,0.9779,0.0061,0.9384,0.0069
5,10000,0.9631,0.0028,0.999,0.0017,0.9788,0.0032,0.9518,0.0041
5,25000,0.9725,0.0016,0.9992,0.0011,0.9839,0.0015,0.9642,0.0021
0,640,0.625,0.023,1,0,0.807,0.027,0.486,0.029
0,1600,0.696,0.022,0.9975,0.0052,0.816,0.027,0.611,0.024
0,4000,0.771,0.011,1,0,0.8721,0.0076,0.698,0.015
0,10000,0.8236,0.0066,0.99953,0.00099,0.8989,0.0056,0.7718,0.0085
0,25000,0.8665,0.0037,0.99967,0.00053,0.926,0.0054,0.8212,0.0044
