Angle,Mass,SP Tot,SP Tot Err,SP > 2,SP > 2 Err,SP 2 - 0.5,SP 2 - 0.5 Err,SP 0.5 - 0.08,SP 0.5 - 0.08 Err
180,640,1,0,1,0,1,0,1,0
180,1600,1,0,1,0,1,0,1,0
180,4000,1,0,1,0,1,0,1,0
180,10000,1,0,1,0,1,0,1,0
180,25000,0.99817,0.00022,0.99981,0.00043,0.99847,0.00045,0.998,0.00035
25,640,0.9946,0.0018,1,0,0.9946,0.004,0.9943,0.0021
25,1600,0.9934,0.002,1,0,0.9931,0.003,0.9931,0.0024
25,4000,0.99496,0.00057,0.9996,0.0012,0.995,0.0016,0.9947,0.00067
25,10000,0.99569,0.00062,0.99984,0.00049,0.99663,0.00089,0.99523,0.00092
25,25000,0.9962,0.00031,0.99994,0.0002,0.99654,0.00038,0.99591,0.00038
10,640,0.9719,0.0042,1,0,0.978,0.0093,0.9689,0.0044
10,1600,0.9756,0.0029,0.9981,0.0059,0.9742,0.0048,0.9749,0.0039
10,4000,0.9768,0.0021,0.9992,0.0016,0.9787,0.004,0.9751,0.0023
10,10000,0.9816,0.001,0.9989,0.001,0.9841,0.0023,0.9801,0.0014
10,25000,0.9845,0.00048,0.99937,0.00089,0.9861,0.0015,0.98332,0.00055
5,640,0.9892,0.0032,1,0,0.9925,0.0038,0.9878,0.0038
5,1600,0.9914,0.0012,1,0,0.9918,0.0031,0.9909,0.0021
5,4000,0.9918,0.0013,1,0,0.9926,0.0029,0.9912,0.0014
5,10000,0.99294,0.00085,0.99984,0.00049,0.9943,0.0014,0.99224,0.00083
5,25000,0.99367,0.00039,0.99975,0.00044,0.99459,0.00068,0.9931,0.00046
0,640,0.905,0.015,1,0,0.933,0.025,0.893,0.016
0,1600,0.923,0.012,1,0,0.9399,0.006,0.916,0.015
0,4000,0.932,0.0049,1,0,0.9508,0.0058,0.9239,0.0058
0,10000,0.9472,0.0023,0.99984,0.00049,0.9636,0.0035,0.9405,0.0023
0,25000,0.9536,0.0014,0.99969,0.00044,0.968,0.0018,0.9475,0.0018
